,subject,duration,standing_up,first_walk,first_turn,second_walk,second_turn,sitting_down,status,system
571,s29,-79.0,-155.0,197.0,-111.0,-173.0,105.0,58.0,success,C2
572,s30,157.0,682.0,-754.0,597.0,-465.0,392.0,-295.0,success,C2
573,s30,-389.0,-403.0,72.0,,,3433.0,-195.0,partial_success,C2
574,s30,-63.0,-304.0,188.0,950.0,-1030.0,715.0,-582.0,success,C2
575,s30,-195.0,-205.0,-127.0,638.0,-550.0,847.0,-798.0,success,C2
576,s30,-347.0,620.0,-920.0,352.0,-515.0,1092.0,-976.0,success,C2
577,s30,-207.0,754.0,-742.0,209.0,-349.0,764.0,-843.0,success,C2
578,s30,-120.0,-254.0,47.0,210.0,-205.0,958.0,-876.0,success,C2
579,s30,-119.0,-406.0,234.0,420.0,-449.0,858.0,-776.0,success,C2
580,s30,-52.0,-566.0,183.0,487.0,-532.0,864.0,-488.0,success,C2
581,s30,-196.0,739.0,-762.0,161.0,-122.0,552.0,-764.0,success,C2
